C,A,B,B,C,D,A,A,A,A,A,B,A,D,A,A,A,B,D,C,A,B,A,A,A,B,D,A,D,D,D,A,B,B,C,D,D,D,B,B,D,B,C,B,A,A,A,C,C,C,2
C,C,C,A,D,B,A,D,B,A,C,A,C,A,C,D,B,B,B,D,A,C,C,D,C,A,D,B,A,B,B,C,C,A,A,A,A,C,B,C,D,C,B,D,B,B,A,B,A,A,4
A,D,B,A,D,D,D,D,B,C,A,D,C,A,D,C,B,C,B,D,D,A,B,B,D,D,A,B,B,D,C,B,A,A,D,A,C,B,C,B,C,C,D,B,D,A,A,B,A,C,7
B,C,C,B,D,C,C,B,A,A,B,C,C,A,C,D,D,C,D,B,D,C,C,D,C,B,B,A,B,B,D,D,B,C,C,D,B,C,B,D,A,D,A,D,B,B,A,D,C,B,3
C,B,A,A,B,D,D,C,A,D,D,C,C,A,B,C,B,A,D,A,D,C,B,B,A,A,A,B,D,B,B,B,B,B,B,D,B,D,B,A,B,A,D,A,D,D,C,D,A,D,1
C,B,D,A,B,A,B,B,C,D,C,C,D,A,C,B,C,B,C,A,C,B,B,D,C,C,D,D,A,A,B,D,A,A,B,C,A,B,D,B,D,C,D,A,C,A,C,C,C,B,3
B,D,D,A,B,D,C,B,B,B,A,D,C,A,B,A,C,A,C,A,C,B,A,B,B,C,B,D,B,A,C,A,B,C,C,D,B,D,D,B,C,B,A,A,D,C,D,A,D,B,6
B,B,A,A,A,C,B,D,B,B,D,B,B,B,B,B,B,D,C,A,B,C,C,A,C,D,D,A,D,A,C,B,A,B,A,A,B,B,C,B,D,D,A,C,B,B,C,D,C,D,0
D,D,A,C,B,A,B,B,C,C,B,C,D,A,C,C,B,A,C,A,D,B,D,B,D,A,B,D,D,D,A,D,B,D,B,D,D,C,C,A,D,A,B,B,B,C,D,D,D,D,9
A,C,C,C,D,C,D,B,C,A,B,D,A,A,A,D,B,C,A,D,C,D,C,B,D,C,A,A,A,A,C,D,C,D,C,A,B,C,C,C,C,D,A,D,C,D,B,D,D,C,7
A,C,C,B,C,C,D,D,B,C,D,D,A,B,B,B,C,A,C,D,A,C,D,A,B,A,A,C,A,C,D,D,A,D,A,C,D,B,A,B,A,A,D,B,D,D,D,B,D,A,0
A,A,A,D,A,D,D,C,A,D,C,C,C,D,C,B,D,B,B,A,C,A,A,C,D,A,B,C,C,A,B,D,B,D,B,D,D,C,D,D,A,D,B,C,B,D,B,D,C,A,10
A,A,B,A,A,D,A,A,C,C,B,C,C,C,B,C,C,C,B,C,B,A,D,B,D,B,C,B,D,D,A,D,A,C,A,C,D,B,D,D,B,D,C,B,C,D,C,A,A,A,9
A,B,C,C,D,D,B,B,D,C,A,B,A,B,A,C,C,C,D,C,C,D,C,A,D,C,B,D,B,B,C,A,A,B,D,B,A,D,D,D,C,D,B,C,A,D,B,C,B,B,3
D,D,D,A,B,B,D,D,C,C,D,D,A,D,B,D,C,C,B,B,B,A,D,D,D,C,A,D,A,D,B,A,A,B,D,C,D,A,A,C,D,B,D,D,C,C,B,B,C,C,2
A,D,A,C,A,A,C,D,A,D,C,D,D,A,B,D,D,A,B,C,A,D,A,B,C,D,B,D,C,C,B,A,D,D,A,B,A,C,D,A,C,B,A,C,C,C,C,C,D,C,9
C,C,C,C,B,A,B,D,A,A,A,C,B,B,B,A,A,B,A,C,A,D,A,C,B,B,D,B,D,C,B,B,A,B,A,C,A,C,C,A,C,C,A,C,D,D,A,B,B,D,4
D,D,D,B,A,B,B,A,C,D,B,B,D,D,D,B,B,C,C,A,C,A,D,D,C,C,D,C,A,A,A,A,D,B,C,C,A,D,D,C,B,C,B,B,D,B,C,D,B,D,8
D,D,C,D,D,D,C,D,B,D,B,C,A,B,D,C,C,A,C,B,A,D,D,A,C,D,D,D,A,B,B,D,C,A,B,A,A,C,A,B,A,D,C,B,D,A,D,A,A,D,1
C,B,A,C,B,A,C,C,C,D,B,B,C,D,C,D,A,B,A,C,C,A,C,A,D,A,A,B,A,A,A,B,D,C,A,C,B,A,B,B,A,C,A,D,B,D,A,D,A,A,0
A,C,A,D,B,C,A,B,C,D,D,C,D,D,A,C,C,C,C,B,C,B,D,C,A,C,B,B,A,D,C,A,C,A,C,A,D,A,C,C,C,C,B,A,B,A,D,C,C,B,1
D,C,B,B,D,A,D,A,A,D,C,D,A,A,B,C,A,D,C,C,C,D,B,C,C,D,A,D,D,D,B,B,C,A,C,A,B,B,B,D,A,A,D,A,A,D,B,A,A,D,10
D,C,D,A,C,D,D,C,A,B,B,C,A,C,B,C,D,B,A,C,D,A,B,B,D,A,C,D,B,B,C,B,A,A,B,C,D,D,A,A,D,D,A,A,D,A,C,D,C,C,3
C,D,C,C,D,C,A,A,C,D,B,B,A,A,A,D,D,D,D,C,A,D,C,A,A,A,C,C,D,C,D,B,A,D,A,D,D,D,B,D,D,C,B,D,D,A,C,A,D,C,3
B,A,C,A,D,C,B,D,B,C,A,B,B,D,A,D,C,D,D,D,A,B,C,C,A,A,A,C,C,C,D,C,A,D,A,B,D,D,B,A,D,A,A,C,D,D,A,A,C,B,3
C,D,D,A,A,B,B,A,D,C,C,A,D,B,B,B,C,A,D,B,B,A,B,A,D,A,A,D,A,B,B,B,D,B,B,A,D,C,C,A,A,C,A,C,B,A,B,A,D,B,1
B,B,A,A,B,A,B,C,C,A,B,D,D,B,C,B,D,B,D,C,B,D,D,D,D,B,D,C,A,C,A,D,A,C,A,A,A,D,D,D,B,D,B,D,C,B,C,B,C,C,7
A,B,A,B,D,B,B,A,B,C,C,D,C,C,B,B,D,A,A,C,C,A,D,B,D,C,A,D,C,B,D,D,B,B,D,C,D,B,B,A,A,A,C,A,C,C,C,D,D,D,8
B,B,D,C,C,D,C,B,C,B,D,A,D,A,A,D,A,C,B,D,B,A,B,D,B,A,B,D,D,A,D,D,D,C,D,D,C,C,B,A,C,A,B,B,C,A,C,D,C,C,4
B,D,A,D,C,A,B,C,A,D,C,A,B,A,A,A,C,B,B,D,C,A,A,C,B,A,D,C,A,C,C,C,D,B,D,D,D,C,D,A,D,C,A,B,A,B,A,D,C,B,1
A,C,B,A,A,B,D,C,B,D,C,D,C,D,B,A,A,D,C,D,A,A,B,A,D,C,A,B,C,A,D,A,D,C,A,C,B,A,A,B,B,A,A,A,C,C,D,B,C,A,9
A,A,D,D,C,A,C,A,D,B,C,B,D,C,C,D,C,D,D,B,C,D,B,C,A,B,D,B,C,C,C,C,A,C,A,D,D,B,D,C,A,A,C,C,B,A,A,D,A,C,1
C,D,B,B,B,D,B,C,B,D,A,D,C,D,C,D,B,D,B,C,B,C,C,A,C,B,A,A,C,C,C,A,B,B,A,C,A,C,C,C,D,B,A,C,A,D,A,D,A,A,0
D,A,A,B,C,A,B,B,D,A,B,A,D,C,D,D,D,B,B,D,A,C,A,A,B,B,D,A,A,B,A,C,B,D,D,C,C,D,D,A,B,D,C,C,C,B,D,A,A,A,9
D,A,B,C,C,A,B,C,C,C,C,A,B,A,D,A,B,D,A,B,C,B,A,D,A,C,A,D,A,C,B,C,C,A,D,C,B,C,A,C,C,D,D,B,B,B,D,D,B,D,1
C,B,B,B,B,B,A,B,C,D,B,D,D,B,D,C,C,B,B,B,C,C,C,A,D,C,D,B,A,A,D,D,D,A,D,C,C,D,D,B,B,B,D,A,B,A,D,D,B,C,4
B,B,C,D,B,C,A,C,C,D,C,D,B,B,C,B,B,A,C,B,A,C,A,B,D,A,D,B,A,C,D,A,D,C,D,C,D,D,C,C,D,B,B,A,C,B,B,C,B,A,6
A,B,C,D,B,D,D,B,C,D,B,B,D,A,A,B,B,C,C,C,A,B,B,C,A,B,A,D,C,B,C,A,C,B,D,B,A,A,C,D,B,A,C,D,D,B,A,D,A,D,2
D,C,A,B,C,C,D,B,A,D,B,C,B,A,D,A,C,B,A,B,D,A,C,B,D,A,A,C,A,B,C,A,D,D,A,D,B,B,A,B,D,A,D,A,A,C,B,C,A,B,3
B,B,B,D,A,C,B,B,B,B,B,A,B,D,B,C,A,D,A,A,B,D,D,A,D,D,C,B,A,D,B,B,A,A,A,A,B,B,A,D,C,C,A,A,B,B,C,A,B,A,3
C,B,D,A,D,A,A,B,B,B,B,A,B,B,A,B,C,D,B,B,A,C,C,B,D,A,B,B,A,D,A,A,D,B,C,C,D,B,B,A,C,D,B,C,B,A,B,A,B,A,2
B,C,D,B,A,D,A,B,B,D,C,A,B,B,A,C,D,D,A,A,B,B,C,B,B,A,D,B,C,C,A,A,C,A,B,B,D,D,C,C,A,C,A,A,C,B,B,C,B,C,9
D,B,B,B,B,C,A,A,B,C,A,A,B,B,B,C,A,C,D,B,D,A,C,D,C,A,B,C,D,D,D,A,B,C,D,C,C,B,B,D,A,D,A,D,A,D,B,D,D,B,0
B,B,C,C,C,B,D,D,C,D,D,D,B,C,B,A,B,A,C,C,B,D,C,B,B,C,B,C,B,A,B,D,C,A,C,B,D,C,C,C,B,D,A,C,A,D,A,D,A,D,3
B,B,A,B,B,C,C,D,D,B,C,D,B,B,A,C,B,D,A,B,C,C,A,A,D,B,C,D,B,C,A,A,C,C,C,C,D,A,A,A,C,C,A,C,B,B,B,A,C,C,10
C,C,B,B,C,C,B,B,D,A,B,D,D,D,C,D,C,C,A,C,B,B,A,D,C,B,B,A,A,B,A,A,D,C,C,A,B,C,D,B,C,D,D,A,A,D,A,A,D,A,3
B,C,A,A,C,D,C,A,B,C,D,C,A,C,C,C,C,C,B,B,A,A,A,D,A,A,C,C,C,C,C,B,A,D,A,D,D,D,C,C,C,D,C,A,A,A,A,B,A,A,5
B,A,A,C,A,B,A,B,B,D,D,D,C,A,A,D,D,A,B,A,A,D,C,B,D,C,D,A,D,B,B,D,A,D,C,A,B,C,D,A,A,C,B,C,C,C,C,A,A,B,5
C,D,A,A,C,A,B,A,D,C,A,B,A,C,C,B,D,D,B,B,A,B,A,D,D,A,B,A,A,B,B,C,C,A,B,B,A,A,C,D,B,B,B,D,B,D,B,B,B,B,0
D,D,D,B,C,C,D,C,C,B,B,D,B,A,D,B,C,B,D,D,A,C,B,D,A,D,B,C,A,C,D,D,C,B,B,A,B,A,C,A,C,A,A,C,A,A,A,B,B,D,3
C,B,A,B,C,A,B,A,A,B,B,D,A,D,C,A,A,B,B,C,D,C,B,A,D,C,D,B,C,C,D,D,A,C,C,D,D,D,B,C,A,B,C,C,C,A,D,D,B,C,8
C,C,D,C,A,A,A,D,D,D,B,D,B,B,D,C,D,B,A,D,C,A,A,D,C,B,A,D,C,B,A,B,B,A,B,D,A,B,D,C,C,D,B,D,A,B,D,C,D,C,9
